log_level,timestamp
ERROR,2014-03-10 05:03:08
INFO,2013-12-25 16:35:01
INFO,2012-10-03 14:30:14
ERROR,2015-08-11 12:54:16
INFO,2017-01-12 21:33:02
ERROR,2017-11-20 06:04:53
DEBUG,2016-03-25 15:43:00
INFO,2013-01-03 02:51:38
WARN,2015-05-20 03:19:52
DEBUG,2012-09-01 09:28:28
INFO,2014-10-04 03:29:19
INFO,2014-09-01 19:55:16
DEBUG,2017-02-22 11:47:25
DEBUG,2012-05-25 12:44:34
INFO,2016-11-24 17:10:33
DEBUG,2013-02-08 12:01:51
WARN,2014-10-09 23:41:11
INFO,2013-09-18 10:21:08
ERROR,2017-05-01 20:45:31
WARN,2014-07-27 22:23:50
DEBUG,2016-09-05 00:32:59
ERROR,2014-06-16 20:04:15
WARN,2014-09-20 06:51:52
ERROR,2015-05-24 11:13:37
WARN,2012-10-21 10:38:45
DEBUG,2012-11-13 13:06:41
DEBUG,2017-11-09 08:37:08
WARN,2013-09-14 09:39:45
DEBUG,2016-11-04 20:08:17
ERROR,2013-08-03 07:38:01
DEBUG,2015-10-17 23:52:19
WARN,2013-09-11 09:28:24
ERROR,2013-03-13 15:10:56
INFO,2017-04-14 01:40:08
WARN,2016-01-09 20:02:13
DEBUG,2017-08-28 05:05:14
ERROR,2015-04-03 14:06:45
WARN,2012-11-01 18:26:05
WARN,2013-02-19 22:39:37
DEBUG,2014-11-20 01:40:35
ERROR,2015-11-29 19:46:26
DEBUG,2017-10-11 09:53:22
WARN,2014-07-12 00:03:51
INFO,2016-05-03 06:38:07
ERROR,2016-04-24 13:53:39
WARN,2013-12-20 19:34:55
DEBUG,2017-01-02 21:44:33
ERROR,2013-04-25 16:48:02
WARN,2013-03-02 00:47:38
WARN,2017-04-18 09:55:03
WARN,2013-08-06 03:44:34
ERROR,2013-09-26 21:58:02
WARN,2013-01-10 16:55:07
WARN,2012-10-24 15:26:00
WARN,2012-11-27 01:45:18
WARN,2013-12-29 19:36:44
DEBUG,2016-10-27 09:54:22
DEBUG,2012-06-10 21:23:04
INFO,2016-10-23 17:08:13
ERROR,2016-04-10 04:42:25
WARN,2014-05-12 09:24:29
WARN,2016-07-29 09:35:41
DEBUG,2013-04-19 17:23:29
ERROR,2012-03-11 08:04:09
INFO,2016-04-22 15:20:22
WARN,2017-04-24 08:47:58
DEBUG,2014-09-18 04:05:55
INFO,2013-02-10 02:01:35
DEBUG,2015-12-08 14:03:03
ERROR,2015-02-04 23:03:13
DEBUG,2012-08-12 11:12:53
ERROR,2016-07-04 20:41:00
ERROR,2013-11-22 14:33:37
INFO,2012-01-01 08:55:24
DEBUG,2017-05-08 19:18:08
WARN,2012-06-19 02:41:59
INFO,2016-06-27 19:23:18
INFO,2015-01-02 04:18:07
DEBUG,2013-05-28 00:35:18
DEBUG,2016-03-12 12:49:51
WARN,2012-09-18 00:19:36
ERROR,2016-10-13 12:27:00
INFO,2015-06-15 18:19:53
DEBUG,2012-12-10 11:34:09
ERROR,2013-11-14 17:41:45
WARN,2016-11-09 01:43:55
DEBUG,2014-05-25 07:16:51
INFO,2017-02-18 09:03:43
WARN,2013-03-27 09:46:01
ERROR,2016-12-10 02:52:22
ERROR,2012-03-28 04:18:35
ERROR,2017-12-11 04:26:10
WARN,2012-08-06 16:51:53
WARN,2016-01-15 10:37:25
WARN,2012-05-11 06:15:16
INFO,2017-11-14 21:13:11
ERROR,2013-07-09 04:11:42
WARN,2013-08-19 21:23:15
INFO,2017-04-14 00:53:24
WARN,2015-04-03 18:01:05
INFO,2013-04-25 09:44:24
ERROR,2016-08-16 14:27:12
DEBUG,2014-01-28 04:34:26
DEBUG,2016-04-20 13:35:23
WARN,2015-12-05 15:52:18
WARN,2016-02-09 08:20:48
INFO,2012-08-10 18:50:49
WARN,2015-05-31 08:50:16
WARN,2012-01-16 07:05:49
WARN,2016-12-15 16:00:07
WARN,2014-08-21 22:56:55
INFO,2013-09-23 06:26:46
DEBUG,2017-01-04 17:33:52
ERROR,2013-05-08 05:47:49
INFO,2013-10-10 12:16:28
ERROR,2016-06-28 14:48:38
WARN,2017-12-23 03:54:58
ERROR,2012-02-29 01:21:36
ERROR,2016-09-15 06:42:26
WARN,2015-12-28 02:42:16
INFO,2013-11-09 05:05:34
INFO,2015-11-09 16:56:26
DEBUG,2015-08-20 00:53:46
DEBUG,2014-01-07 20:16:37
DEBUG,2017-12-23 11:37:26
DEBUG,2016-03-28 23:07:14
INFO,2016-05-20 10:16:09
DEBUG,2015-08-18 04:20:14
DEBUG,2014-05-30 18:13:15
WARN,2015-09-07 07:54:56
DEBUG,2016-09-25 23:40:22
INFO,2016-05-09 18:26:42
DEBUG,2017-04-15 10:01:26
INFO,2017-06-30 23:25:24
ERROR,2015-09-23 19:26:53
ERROR,2014-12-19 19:11:03
ERROR,2012-05-16 08:32:44
INFO,2017-08-11 03:06:02
WARN,2012-11-25 09:27:02
WARN,2017-08-25 09:27:00
DEBUG,2017-02-20 12:24:15
ERROR,2015-11-19 14:23:36
ERROR,2012-10-05 01:50:25
DEBUG,2014-09-20 20:19:47
ERROR,2016-03-01 22:28:46
DEBUG,2016-11-10 04:29:03
DEBUG,2017-04-15 05:31:15
DEBUG,2014-12-26 02:42:48
WARN,2012-07-12 11:33:33
INFO,2012-08-01 05:20:42
INFO,2012-03-06 08:42:40
WARN,2013-02-28 00:11:42
ERROR,2016-08-06 21:49:46
ERROR,2013-02-16 02:37:42
WARN,2016-05-09 00:29:32
DEBUG,2015-01-02 11:39:48
WARN,2013-05-21 15:45:55
DEBUG,2017-06-29 04:04:44
DEBUG,2014-02-19 18:29:08
ERROR,2014-08-07 03:55:10
WARN,2016-12-28 19:07:42
ERROR,2014-12-06 16:23:32
INFO,2013-01-30 10:15:41
WARN,2017-12-17 07:58:21
ERROR,2016-11-18 04:58:59
DEBUG,2014-12-23 15:18:04
